Date	Season	Round	HomeTeam	HomeGoals	HomeBehinds	HomeTotal	AwayTeam	AwayGoals	AwayBehinds	AwayTotal	Ground
2018-03-22	2018	R1	Richmond	17	19	121	Carlton	15	5	95	M.C.G.
2018-03-23	2018	R1	Essendon	14	15	99	Adelaide	12	15	87	Docklands
2018-03-24	2018	R1	St Kilda	16	11	107	Brisbane	12	10	82	Docklands
2018-03-24	2018	R1	Port Adelaide	16	14	110	Fremantle	9	6	60	Adelaide Oval
2018-03-24	2018	R1	Hawthorn	15	11	101	Collingwood	9	13	67	M.C.G.
2018-03-24	2018	R1	Gold Coast	7	13	55	North Melbourne	5	9	39	Cazaly's Stadium
2018-03-25	2018	R1	GW Sydney	20	13	133	Western Bulldogs	7	9	51	Manuka Oval
2018-03-25	2018	R1	Melbourne	13	16	94	Geelong	14	13	97	M.C.G.
2018-03-25	2018	R1	West Coast	13	8	86	Sydney	18	7	115	Perth Stadium
2018-03-29	2018	R2	Adelaide	18	10	118	Richmond	12	10	82	Adelaide Oval
2018-03-30	2018	R2	North Melbourne	13	17	95	St Kilda	5	13	43	Docklands
2018-03-31	2018	R2	Carlton	9	13	67	Gold Coast	15	11	101	Docklands
2018-03-31	2018	R2	Collingwood	12	7	79	GW Sydney	15	5	95	M.C.G.
2018-03-31	2018	R2	Brisbane	10	14	74	Melbourne	14	16	100	Gabba
2018-03-31	2018	R2	Fremantle	16	10	106	Essendon	14	6	90	Perth Stadium
2018-04-01	2018	R2	Western Bulldogs	9	16	70	West Coast	18	13	121	Docklands
2018-04-01	2018	R2	Sydney	10	11	71	Port Adelaide	14	10	94	S.C.G.
2018-04-02	2018	R2	Geelong	18	9	117	Hawthorn	17	16	118	M.C.G.
2018-04-06	2018	R3	Carlton	11	10	76	Collingwood	16	4	100	M.C.G.
2018-04-07	2018	R3	Port Adelaide	14	13	97	Brisbane	14	8	92	Adelaide Oval
2018-04-07	2018	R3	Melbourne	18	15	123	North Melbourne	13	8	86	M.C.G.
2018-04-07	2018	R3	Gold Coast	10	8	68	Fremantle	13	18	96	Perth Stadium
2018-04-07	2018	R3	St Kilda	7	13	55	Adelaide	15	14	104	Docklands
2018-04-07	2018	R3	Sydney	16	7	103	GW Sydney	12	15	87	S.C.G.
2018-04-08	2018	R3	Richmond	15	12	102	Hawthorn	13	11	89	M.C.G.
2018-04-08	2018	R3	Western Bulldogs	14	20	104	Essendon	12	11	83	Docklands
2018-04-08	2018	R3	West Coast	14	11	95	Geelong	11	14	80	Perth Stadium
2018-04-13	2018	R4	Adelaide	9	4	58	Collingwood	16	10	106	Adelaide Oval
2018-04-14	2018	R4	GW Sydney	11	16	82	Fremantle	7	9	51	Manuka Oval
2018-04-14	2018	R4	Richmond	16	14	110	Brisbane	2	5	17	M.C.G.
2018-04-14	2018	R4	Western Bulldogs	11	13	79	Sydney	13	8	86	Docklands
2018-04-14	2018	R4	North Melbourne	18	8	116	Carlton	4	6	30	Bellerive Oval
2018-04-14	2018	R4	West Coast	21	13	139	Gold Coast	9	5	59	Perth Stadium
2018-04-15	2018	R4	Essendon	16	10	106	Port Adelaide	12	12	84	Docklands
2018-04-15	2018	R4	Hawthorn	18	7	115	Melbourne	6	12	48	M.C.G.
2018-04-15	2018	R4	Geelong	15	13	103	St Kilda	7	14	56	Kardinia Park
2018-04-20	2018	R5	Sydney	10	15	75	Adelaide	12	13	85	S.C.G.
2018-04-21	2018	R5	St Kilda	10	13	73	GW Sydney	9	19	73	Docklands
2018-04-21	2018	R5	Carlton	10	9	69	West Coast	10	19	79	M.C.G.
2018-04-21	2018	R5	Port Adelaide	7	8	50	Geelong	12	12	84	Adelaide Oval
2018-04-21	2018	R5	Fremantle	16	12	108	Western Bulldogs	8	6	54	Perth Stadium
2018-04-22	2018	R5	North Melbourne	14	14	98	Hawthorn	11	4	70	Docklands
2018-04-22	2018	R5	Brisbane	10	11	71	Gold Coast	11	10	76	Gabba
2018-04-24	2018	R5	Melbourne	8	8	56	Richmond	15	12	102	M.C.G.
2018-04-25	2018	R5	Collingwood	14	17	101	Essendon	7	10	52	M.C.G.
